Algorithm,Iteration,Residual,PSNR,SSIM
,11,2.486,24.518,0.73
,12,2.41,24.635,0.72
,13,2.342,24.742,0.712
,14,2.281,24.825,0.702
,15,2.225,24.904,0.695
,16,2.173,24.961,0.685
,17,2.126,25.017,0.678
,18,2.083,25.053,0.669
,19,2.042,25.091,0.662
,20,2.005,25.109,0.654
,21,1.969,25.132,0.647
,22,1.937,25.137,0.639
,23,1.906,25.149,0.634
,24,1.876,25.142,0.626
,25,1.849,25.144,0.621
,26,1.823,25.129,0.614
,27,1.798,25.123,0.609
,28,1.775,25.101,0.603
,29,1.752,25.089,0.598
,30,1.731,25.062,0.592
,31,1.711,25.045,0.588
,32,1.691,25.014,0.582
,33,1.673,24.993,0.578
,34,1.655,24.958,0.573
,35,1.638,24.934,0.569
,36,1.622,24.897,0.564
,37,1.606,24.871,0.561
,38,1.591,24.831,0.556
,39,1.576,24.804,0.553
,40,1.562,24.763,0.549
,41,1.548,24.734,0.546
,42,1.535,24.693,0.542
,43,1.522,24.663,0.539
,44,1.51,24.621,0.535
,45,1.498,24.59,0.532
,46,1.487,24.548,0.529
,47,1.476,24.517,0.526
,48,1.465,24.474,0.523
,49,1.454,24.443,0.52
,50,1.444,24.401,0.517
,51,1.434,24.37,0.515
,52,1.425,24.328,0.512
,53,1.415,24.297,0.51
,54,1.406,24.255,0.507
,55,1.397,24.224,0.505
,56,1.389,24.183,0.502
,57,1.381,24.153,0.5
,58,1.372,24.112,0.498
,59,1.365,24.082,0.496
,60,1.357,24.042,0.493
,61,1.349,24.012,0.491
,62,1.342,23.973,0.489
,63,1.335,23.944,0.487
,64,1.328,23.905,0.485
,65,1.321,23.876,0.483
,66,1.314,23.839,0.481
,67,1.308,23.81,0.48
,68,1.302,23.773,0.478
,69,1.295,23.745,0.476
,70,1.289,23.709,0.474
,71,1.283,23.682,0.473
,72,1.278,23.646,0.471
,73,1.272,23.619,0.469
,74,1.266,23.584,0.468
,75,1.261,23.558,0.466
,76,1.256,23.524,0.465
,77,1.25,23.498,0.463
,78,1.245,23.465,0.462
,79,1.24,23.439,0.46
,80,1.235,23.407,0.459
,81,1.231,23.382,0.457
,82,1.226,23.35,0.456
,83,1.221,23.325,0.455
,84,1.217,23.294,0.453
,85,1.212,23.27,0.452
,86,1.208,23.239,0.451
,87,1.204,23.216,0.45
,88,1.199,23.186,0.448
,89,1.195,23.163,0.447
,90,1.191,23.134,0.446
,91,1.187,23.111,0.445
,92,1.183,23.083,0.443
,93,1.179,23.061,0.442
,94,1.175,23.032,0.441
,95,1.172,23.011,0.44
,96,1.168,22.983,0.439
,97,1.164,22.962,0.438
,98,1.161,22.935,0.437
,99,1.157,22.914,0.436
,100,1.154,22.888,0.435
,101,1.151,22.868,0.434
,102,1.147,22.842,0.433
,103,1.144,22.822,0.432
,104,1.141,22.796,0.431
,105,1.137,22.777,0.43
,106,1.134,22.752,0.429
,107,1.131,22.733,0.428
,108,1.128,22.708,0.427
,109,1.125,22.689,0.426
,110,1.122,22.665,0.425
